taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2217090	Ochlesis Stebbing, 1910	2217090	Ochlesis Stebbing, 1910	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Ochlesidae	8005	Ochlesis	2217090			
2229021	Pakistanapseudes Bacescu, 1978	2229021	Pakistanapseudes Bacescu, 1978	13	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Parapseudidae	5425	Pakistanapseudes	2229021			
4641148	Antiplotanais Bamber, 2008	4641148	Antiplotanais Bamber, 2008	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Typhlotanaidae	4304171	Antiplotanais	4641148			
2201728	Mirabilicoxa Hessler, 1970	2201728	Mirabilicoxa Hessler, 1970	5	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Desmosomatidae	5355	Mirabilicoxa	2201728			
2206950	Oxinasphaera lobivia Bruce, 1997	2206950	Oxinasphaera lobivia Bruce, 1997	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Sphaeromatidae	2045	Oxinasphaera	2206945	Oxinasphaera lobivia	2206950	
5368	Janiridae	5368	Janiridae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Janiridae	5368					
2215003	Scherocumella Watling, 1991	2215003	Scherocumella Watling, 1991	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Nannastacidae	3217	Scherocumella	2215003			
8913	Kalliapseudidae	8913	Kalliapseudidae	8	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Tanaidacea	1378	Kalliapseudidae	8913					
2215441	Gynodiastylis subtilis Hale, 1946	2215441	Gynodiastylis subtilis Hale, 1946	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Gynodiastylidae	5304	Gynodiastylis	2215421	Gynodiastylis subtilis	2215441	
1030604	Neomuelleriella Kornicker, 1986	1030604	Neomuelleriella Kornicker, 1986	8	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Myodocopida	1430	Sarsiellidae	5143	Neomuelleriella	1030604			
9676	Diastylidae	9676	Diastylidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Cumacea	1500	Diastylidae	9676					
2221506	Nebalia Leach, 1814	2221506	Nebalia Leach, 1814	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Leptostraca	7692634	Nebaliidae	8905	Nebalia	2221506			
2206488	Ascionana Just & Wilson, 2004	2206488	Ascionana Just & Wilson, 2004	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Paramunnidae	5382	Ascionana	2206488			
4315194	Ileraustroe J.L.Barnard, 1972	4315194	Ileraustroe J.L.Barnard, 1972	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Synopiidae	4465	Ileraustroe	4315194			
276	Scaphopoda	276	Scaphopoda	3	CLASS	ACCEPTED	Animalia	1	Mollusca	52	Scaphopoda	276									
2212559	Quantanthura Menzies & George, 1972	2212559	Quantanthura Menzies & George, 1972	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Anthuridae	8689	Quantanthura	2212559			
9194	Cypridinidae	9194	Cypridinidae	3	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Ostracoda	353	Myodocopida	1430	Cypridinidae	9194					
2217119	Paraphoxus Sars, 1891	2217119	Paraphoxus Sars, 1891	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Phoxocephalidae	8010	Paraphoxus	2217119			
5958986	Laonice lemniscata Greaves, Meißner & Wilson, 2011	5958986	Laonice lemniscata Greaves, Meißner & Wilson, 2011	4	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Spionidae	3595	Laonice	2320745	Laonice lemniscata	5958986	
2321419	Paraprionospio coora Wilson, 1990	2321419	Paraprionospio coora Wilson, 1990	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256			Spionidae	3595	Paraprionospio	2321413	Paraprionospio coora	2321419	
